stage,layer,comparison,positions,full_logits_exact,top1_set_exact,top1_order_exact,top10_set_exact,top10_order_exact,top20_set_exact,top20_order_exact
Attention KV write,11,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,11,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,11,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,11,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,15,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,15,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,15,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,15,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,19,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,19,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,19,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,19,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,23,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,23,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,23,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,23,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,27,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,27,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,27,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,27,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,3,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,3,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,3,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,3,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,31,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,31,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,31,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,31,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,35,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,35,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,35,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,35,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,39,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,39,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,39,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,39,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,43,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,43,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,43,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,43,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,47,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,47,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,47,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,47,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,51,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,51,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,51,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,51,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,55,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,55,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,55,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,55,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,59,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,59,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,59,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,59,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,63,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,63,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,63,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,63,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention KV write,7,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention KV write,7,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention KV write,7,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention KV write,7,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,11:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,11:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,11:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,11:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,11:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,11:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,15:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,15:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,15:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,15:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,15:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,15:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,19:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,19:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,19:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,19:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,19:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,19:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,23:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,23:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,23:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,23:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,23:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,23:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,27:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,27:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,27:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,27:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,27:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,27:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,31:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,31:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,31:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,31:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,31:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,31:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,35:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,35:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,35:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,35:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,35:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,35:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,39:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,39:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,39:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,39:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,39:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,39:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,3:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,3:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,3:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,3:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,3:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,3:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,43:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,43:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,43:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,43:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,43:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,43:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,47:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,47:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,47:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,47:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,47:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,47:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,51:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,51:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,51:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,51:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,51:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,51:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,55:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,55:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,55:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,55:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,55:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,55:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,59:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,59:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,59:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,59:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,59:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,59:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,63:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,63:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,63:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,63:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,63:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,63:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,7:k,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,7:k,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,7:k,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention Q/K normalization,7:q,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,7:q,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention Q/K normalization,7:q,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",11,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",11,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,318,318,187,36,103,0
"Attention Q/K normalization, RoPE and layout",11,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",11,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",15,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",15,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,318,318,184,43,109,1
"Attention Q/K normalization, RoPE and layout",15,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",15,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",19,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",19,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,319,319,190,37,119,0
"Attention Q/K normalization, RoPE and layout",19,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",19,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",23,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",23,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,317,317,180,39,112,1
"Attention Q/K normalization, RoPE and layout",23,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",23,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",27,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",27,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,319,319,193,44,116,0
"Attention Q/K normalization, RoPE and layout",27,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",27,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",3,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",3,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,320,320,187,37,106,1
"Attention Q/K normalization, RoPE and layout",3,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",3,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",31,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",31,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,319,319,182,30,118,0
"Attention Q/K normalization, RoPE and layout",31,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",31,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",35,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",35,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,319,319,186,43,127,0
"Attention Q/K normalization, RoPE and layout",35,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",35,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",39,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",39,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,317,317,205,48,129,1
"Attention Q/K normalization, RoPE and layout",39,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",39,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",43,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",43,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,319,319,197,44,145,0
"Attention Q/K normalization, RoPE and layout",43,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",43,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",47,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",47,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,319,319,210,51,155,0
"Attention Q/K normalization, RoPE and layout",47,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",47,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",51,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",51,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,320,320,220,63,152,1
"Attention Q/K normalization, RoPE and layout",51,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",51,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",55,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",55,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,320,320,233,78,179,1
"Attention Q/K normalization, RoPE and layout",55,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",55,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",59,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",59,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,320,320,246,87,195,7
"Attention Q/K normalization, RoPE and layout",59,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",59,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",63,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",63,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,320,320,296,219,266,72
"Attention Q/K normalization, RoPE and layout",63,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",63,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",7,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",7,Fix 1 compiled M8 vs Fix 1 eager M8,320,0,319,319,179,33,107,0
"Attention Q/K normalization, RoPE and layout",7,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
"Attention Q/K normalization, RoPE and layout",7,Old compiled M8 vs old compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,11,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,11,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,11,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,11,Old compiled M8 vs old compiled M1,320,3,318,318,197,42,118,3
Attention decode and split-KV merge,15,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,15,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,15,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,15,Old compiled M8 vs old compiled M1,320,6,318,318,193,44,112,7
Attention decode and split-KV merge,19,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,19,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,19,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,19,Old compiled M8 vs old compiled M1,320,1,320,320,193,37,119,1
Attention decode and split-KV merge,23,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,23,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,23,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,23,Old compiled M8 vs old compiled M1,320,1,319,319,181,32,110,1
Attention decode and split-KV merge,27,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,27,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,27,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,27,Old compiled M8 vs old compiled M1,320,0,318,318,199,35,124,0
Attention decode and split-KV merge,3,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,3,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,3,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,3,Old compiled M8 vs old compiled M1,320,11,318,318,199,58,124,11
Attention decode and split-KV merge,31,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,31,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,31,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,31,Old compiled M8 vs old compiled M1,320,0,319,319,198,40,123,0
Attention decode and split-KV merge,35,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,35,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,35,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,35,Old compiled M8 vs old compiled M1,320,0,319,319,207,44,119,2
Attention decode and split-KV merge,39,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,39,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,39,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,39,Old compiled M8 vs old compiled M1,320,1,319,319,203,46,128,1
Attention decode and split-KV merge,43,Final compiled M8 vs final eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,43,Fix 1 compiled M8 vs Fix 1 eager M8,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,43,Fix 1 compiled M8 vs Fix 1 compiled M1,320,320,320,320,320,320,320,320
Attention decode and split-KV merge,43,Old compiled M8 vs old compiled M1,320,2,319,319,218,44,141,2
